"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date"
"289","422","UT- PROVO",599239,0,0,0,0,2020-01-21
"290","421","UT- OGDEN",485077,0,0,0,0,2020-01-21
"291","427","VA- CHARLOTTESVILLE",580368,0,0,0,0,2020-01-21
"292","432","VA- ROANOKE",718474,0,0,0,0,2020-01-21
"293","431","VA- RICHMOND",1734485,0,0,0,0,2020-01-21
"294","428","VA- LYNCHBURG",256375,0,0,0,0,2020-01-21
"295","426","VA- ARLINGTON",2297586,0,0,0,0,2020-01-21
"296","429","VA- NEWPORT NEWS",563031,0,0,0,0,2020-01-21
"297","435","VA- WINCHESTER",435762,0,0,0,0,2020-01-21
"298","442","WA- YAKIMA",298517,0,0,0,0,2020-01-21
"299","439","WA- SEATTLE",2812672,1.27212857561981e-07,0,0.0127212857561981,0,2020-01-21
"300","438","WA- OLYMPIA",387412,0,0,0,0,2020-01-21
"301","437","WA- EVERETT",672161,9.5541389264689e-07,0,0.095541389264689,0,2020-01-21
"302","441","WA- TACOMA",802054,0,0,0,0,2020-01-21
"303","450","WI- MARSHFIELD",379798,0,0,0,0,2020-01-21
"304","446","WI- APPLETON",328675,0,0,0,0,2020-01-21
"305","452","WI- NEENAH",238971,0,0,0,0,2020-01-21
"306","457","WY- CASPER",192915,0,0,0,0,2020-01-21
"307","Hospital referral regions (2016)","Hospital referral regions 2016",NA,NA,NA,NA,NA,2020-01-21
"308","268","MO- KANSAS CITY",2481936,0,0,0,0,2020-01-22
"309","297","NY- BRONX",1398749,0,0,0,0,2020-01-22
"310","301","NY- EAST LONG ISLAND",4728414,0,0,0,0,2020-01-22
"311","303","NY- NEW YORK",4981418,0,0,0,0,2020-01-22
"312","308","NY- WHITE PLAINS",1135283,0,0,0,0,2020-01-22
"313","289","NJ- NEWARK",1534797,0,0,0,0,2020-01-22
"314","001","AL- BIRMINGHAM",2276677,0,0,0,0,2020-01-22
"315","007","AL- MONTGOMERY",473121,0,0,0,0,2020-01-22
"316","006","AL- MOBILE",826053,0,0,0,0,2020-01-22
"317","134","FL- PENSACOLA",764431,0,0,0,0,2020-01-22
"318","002","AL- DOTHAN",375802,0,0,0,0,2020-01-22
"319","009","AL- TUSCALOOSA",266186,0,0,0,0,2020-01-22
"320","144","GA- ATLANTA",6243061,0,0,0,0,2020-01-22
"321","148","GA- ROME",289908,0,0,0,0,2020-01-22
"322","260","MS- MERIDIAN",197862,0,0,0,0,2020-01-22
"323","005","AL- HUNTSVILLE",626099,0,0,0,0,2020-01-22
"324","373","TN- CHATTANOOGA",700134,0,0,0,0,2020-01-22
"325","262","MS- TUPELO",396259,0,0,0,0,2020-01-22
"326","146","GA- COLUMBUS",349248,0,0,0,0,2020-01-22
"327","010","AK- ANCHORAGE",710231,0,0,0,0,2020-01-22
"328","012","AZ- PHOENIX",3373124,0,0,0,0,2020-01-22
"329","293","NM- ALBUQUERQUE",1729568,0,0,0,0,2020-01-22
"330","015","AZ- TUCSON",1221007,0,0,0,0,2020-01-22
"331","423","UT- SALT LAKE CITY",2034274,0,0,0,0,2020-01-22
"332","011","AZ- MESA",1384107,0,0,0,0,2020-01-22
"333","014","AZ- SUN CITY",298424,0,0,0,0,2020-01-22
"334","279","NV- LAS VEGAS",2064056,0,0,0,0,2020-01-22
"335","019","AR- LITTLE ROCK",1557326,0,0,0,0,2020-01-22
"336","270","MO- SPRINGFIELD",865127,0,0,0,0,2020-01-22
"337","021","AR- SPRINGDALE",535647,0,0,0,0,2020-01-22
"338","267","MO- JOPLIN",375895,0,0,0,0,2020-01-22
"339","018","AR- JONESBORO",238432,0,0,0,0,2020-01-22
"340","273","MO- ST LOUIS",3427241,0,0,0,0,2020-01-22
"341","219","LA- SHREVEPORT",694588,0,0,0,0,2020-01-22
"342","016","AR- FORT SMITH",376522,0,0,0,0,2020-01-22
"343","379","TN- MEMPHIS",1816203,0,0,0,0,2020-01-22
"344","022","AR- TEXARKANA",263672,0,0,0,0,2020-01-22
"345","033","CA- CONTRA COSTA CO.",1042954,0,0,0,0,2020-01-22
"346","065","CA- ALAMEDA CO.",1538029,0,0,0,0,2020-01-22
"347","077","CA- SACRAMENTO",2589156,0,0,0,0,2020-01-22
"348","091","CA- STOCKTON",596968,0,0,0,0,2020-01-22
"349","280","NV- RENO",758460,0,0,0,0,2020-01-22
"350","031","CA- CHICO",300672,0,0,0,0,2020-01-22
"351","058","CA- MODESTO",901093,0,0,0,0,2020-01-22
"352","081","CA- SAN FRANCISCO",1438721,0,0,0,0,2020-01-22
"353","343","OR- MEDFORD",434585,0,0,0,0,2020-01-22
"354","043","CA- FRESNO",1244650,0,0,0,0,2020-01-22
"355","062","CA- NAPA",274114,0,0,0,0,2020-01-22
"356","073","CA- REDDING",341901,0,0,0,0,2020-01-22
"357","080","CA- SAN DIEGO",3720182,0,0,0,0,2020-01-22
"358","079","CA- SAN BERNARDINO",3116736,0,0,0,0,2020-01-22
"359","025","CA- BAKERSFIELD",1161370,0,0,0,0,2020-01-22
"360","056","CA- LOS ANGELES",9867438,0,0,0,0,2020-01-22
"361","023","CA- ORANGE CO.",3304821,0,0,0,0,2020-01-22
"362","096","CA- VENTURA",857707,0,0,0,0,2020-01-22
"363","089","CA- SANTA ROSA",489750,0,0,0,0,2020-01-22
"364","078","CA- SALINAS",396679,0,0,0,0,2020-01-22
"365","083","CA- SAN LUIS OBISPO",251067,0,0,0,0,2020-01-22
"366","087","CA- SANTA CRUZ",275890,0,0,0,0,2020-01-22
"367","069","CA- PALM SPR/RANCHO MIR.",342069,0,0,0,0,2020-01-22
"368","082","CA- SAN JOSE",1761797,0,0,0,0,2020-01-22
"369","086","CA- SANTA BARBARA",443159,0,0,0,0,2020-01-22
"370","085","CA- SAN MATEO CO.",797525,0,0,0,0,2020-01-22
"371","103","CO- DENVER",2853117,0,0,0,0,2020-01-22
"372","106","CO- GREELEY",357920,0,0,0,0,2020-01-22
"373","102","CO- COLORADO SPRINGS",829912,0,0,0,0,2020-01-22
"374","101","CO- BOULDER",308518,0,0,0,0,2020-01-22
"375","107","CO- PUEBLO",173208,0,0,0,0,2020-01-22
"376","105","CO- GRAND JUNCTION",337595,0,0,0,0,2020-01-22
"377","104","CO- FORT COLLINS",335380,0,0,0,0,2020-01-22
"378","201","KS- WICHITA",1276737,0,0,0,0,2020-01-22
"379","109","CT- BRIDGEPORT",682421,0,0,0,0,2020-01-22
"380","111","CT- NEW HAVEN",1482374,0,0,0,0,2020-01-22
"381","110","CT- HARTFORD",1510786,0,0,0,0,2020-01-22
"382","230","MA- SPRINGFIELD",744460,0,0,0,0,2020-01-22
"383","364","RI- PROVIDENCE",1228881,0,0,0,0,2020-01-22
"384","112","DE- WILMINGTON",796103,0,0,0,0,2020-01-22
"385","225","MD- SALISBURY",443452,0,0,0,0,2020-01-22
"386","356","PA- PHILADELPHIA",4185432,0,0,0,0,2020-01-22
"387","113","DC- WASHINGTON",2617594,0,0,0,0,2020-01-22
"388","226","MD- TAKOMA PARK",960715,0,0,0,0,2020-01-22
"389","120","FL- GAINESVILLE",567547,0,0,0,0,2020-01-22
"390","123","FL- JACKSONVILLE",1629968,0,0,0,0,2020-01-22
"391","133","FL- PANAMA CITY",217003,0,0,0,0,2020-01-22
"392","130","FL- ORLANDO",3621833,0,0,0,0,2020-01-22
"393","118","FL- FORT LAUDERDALE",2760263,0,0,0,0,2020-01-22
"394","127","FL- MIAMI",3202229,0,0,0,0,2020-01-22
"395","140","FL- TALLAHASSEE",835219,0,0,0,0,2020-01-22
"396","119","FL- FORT MYERS",1182870,0,0,0,0,2020-01-22
"397","137","FL- SARASOTA",407131,0,0,0,0,2020-01-22
"398","129","FL- OCALA",529160,0,0,0,0,2020-01-22
"399","131","FL- ORMOND BEACH",383378,0,0,0,0,2020-01-22
