"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date","hrrcases","hrrdeaths","casegrowthrate","deathgrowthrate"
"171","216","LA- METAIRIE",458580,0,0,0,0,2020-01-21,0,0,1.12340017868748,1.15918687644352
"172","218","LA- NEW ORLEANS",657841,0,0,0,0,2020-01-21,0,0,1.09328943090805,1.09057670178722
"173","220","LA- SLIDELL",192108,0,0,0,0,2020-01-21,0,0,1.11991129408707,1.37728222902543
"174","222","ME- PORTLAND",1070795,0,0,0,0,2020-01-21,0,0,1.05058285616592,1.10556093946314
"175","221","ME- BANGOR",400665,0,0,0,0,2020-01-21,0,0,1.15091426742453,30.3858212305324
"176","281","NH- LEBANON",396748,0,0,0,0,2020-01-21,0,0,1.0648469151661,1.27685670382104
"177","223","MD- BALTIMORE",2523788,0,0,0,0,2020-01-21,0,0,1.17792609367197,1.48920305912334
"178","363","PA- YORK",440053,0,0,0,0,2020-01-21,0,0,1.24708976072778,1.35950323520413
"179","352","PA- HARRISBURG",1027704,0,0,0,0,2020-01-21,0,0,1.27260187918606,1.10375652342266
"180","445","WV- MORGANTOWN",404313,0,0,0,0,2020-01-21,0,0,1.13736424798525,1.41575877405196
"181","227","MA- BOSTON",4826221,0,0,0,0,2020-01-21,0,0,1.1527480455102,1.32865304016916
"182","295","NY- ALBANY",1842850,0,0,0,0,2020-01-21,0,0,1.11837825062852,1.20395859764842
"183","231","MA- WORCESTER",808287,0,0,0,0,2020-01-21,0,0,1.14657425141892,1.23045250652443
"184","246","MI- SAGINAW",627549,0,0,0,0,2020-01-21,0,0,1.21562270158615,1.91342046270828
"185","240","MI- MARQUETTE",200023,0,0,0,0,2020-01-21,0,0,1.19556892166115,Inf
"186","236","MI- GRAND RAPIDS",1187416,0,0,0,0,2020-01-21,0,0,1.11814835028968,1.51910275948557
"187","248","MI- ST JOSEPH",142156,0,0,0,0,2020-01-21,0,0,1.09931387821322,1.09163673811652
"188","243","MI- PETOSKEY",175199,0,0,0,0,2020-01-21,0,0,1.11281033457439,1.26717183451282
"189","249","MI- TRAVERSE CITY",233228,0,0,0,0,2020-01-21,0,0,1.14421210412004,1.15430274079504
"190","239","MI- LANSING",710382,0,0,0,0,2020-01-21,0,0,1.10065336218284,1.1847075601517
"191","447","WI- GREEN BAY",510635,0,0,0,0,2020-01-21,0,0,1.22678335217769,1.14237279476946
"192","235","MI- FLINT",568542,0,0,0,0,2020-01-21,0,0,1.14726122343163,1.56673174583248
"193","250","MN- DULUTH",341216,0,0,0,0,2020-01-21,0,0,1.16785548295914,1.30893678315635
"194","456","WI- WAUSAU",189284,0,0,0,0,2020-01-21,0,0,1.0632455880099,1
"195","232","MI- ANN ARBOR",1401260,0,0,0,0,2020-01-21,0,0,1.09632468584352,1.21190764197557
"196","242","MI- MUSKEGON",270058,0,0,0,0,2020-01-21,0,0,1.11709834317999,1.21860178693636
"197","244","MI- PONTIAC",470635,0,0,0,0,2020-01-21,0,0,1.11087993830718,1.15341990608292
"198","334","OH- TOLEDO",1000493,0,0,0,0,2020-01-21,0,0,1.13025051884198,1.71817140184615
"199","234","MI- DETROIT",1738617,0,0,0,0,2020-01-21,0,0,1.11492315887421,1.26646638776055
"200","245","MI- ROYAL OAK",679720,0,0,0,0,2020-01-21,0,0,1.11298312177247,1.16589744985933
"201","233","MI- DEARBORN",517284,0,0,0,0,2020-01-21,0,0,1.10413864821308,1.24748884263727
